"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"PDIA4",1767.13955395525,2.60297440597772,0.178861094449132,14.5530497506712,5.58562794198148e-48,7.70816655993444e-44,9.12300611763835e-44
"MZB1",1704.20554497287,3.31088246649799,0.240307559111914,13.7776875547892,3.4721696236499e-43,2.39579704031843e-39,5.67109464630738e-39
"BLOC1S5",2326.85091804741,2.37013452811068,0.180503580057102,13.1306787785644,2.19678541409309e-39,1.01052129048282e-35,3.58800961683824e-35
"SDC1",54.8335925901371,4.97306248024358,0.39785945680582,12.4995457445435,7.50790629357438e-36,2.59022767128316e-32,1.2262663349295e-31
"HSP90B1",3086.65512051531,1.97691140658281,0.158603972315247,12.4644507809264,1.16672826980335e-35,3.22017002465724e-32,1.90561728306981e-31
"CCNE1",164.55171349117,2.40341868334405,0.195759832227968,12.277384262085,1.19809542843279e-34,2.75561948539542e-31,1.95684926325928e-30
"CRELD2",973.917743565666,2.42862577914175,0.202118479825439,12.0158521934227,2.93329933714033e-33,5.29453618734413e-30,4.7909578073513e-29
"PDIA5",262.198627482238,2.25718513608015,0.187909200246212,12.0121054909638,3.06929634048935e-33,5.29453618734413e-30,5.01308171292126e-29
"NEK2",54.7764181711838,2.88877231606873,0.240853980217224,11.9938741035684,3.8258398140175e-33,5.86628771482684e-30,6.24874416823479e-29
"P2RX5",96.5989001588979,3.03164801076448,0.256391326620195,11.82430018491,2.92328703191386e-32,4.03413610404112e-29,4.7746047092249e-28
"RRM2",1201.22755164699,2.50212548755269,0.215396937217882,11.6163466383076,3.40382711085289e-31,4.27025582997908e-28,5.55947082015603e-27
"DNAJB11",878.695733187568,1.25564529634689,0.108194942721273,11.6053973019943,3.86886540911637e-31,4.44919522048383e-28,6.31901787270977e-27
"MYBL2",784.657846991221,2.36144095688,0.207194061254632,11.397242481665,4.31572933096952e-30,4.53138409173531e-27,7.04888071627251e-26
"PLK1",280.397818392953,2.27702898208857,0.199884176271847,11.3917420806326,4.59705632494886e-30,4.53138409173531e-27,7.50837209553898e-26
"TYMS",291.964065665807,2.22706273252402,0.19575948849855,11.3765250900751,5.47375707828349e-30,5.03585651202081e-27,8.94028743596042e-26
"JCHAIN",1643.79085107873,3.32375135570341,0.293451330853593,11.3264143189784,9.7098866768918e-30,8.02550861353178e-27,1.58591579093674e-25
"ZWINT",214.659147528587,2.05274367807604,0.181260362284038,11.3248349071451,9.88649611811886e-30,8.02550861353178e-27,1.61476141097235e-25
"BIRC5",468.362114747571,2.50348595401125,0.222926498001873,11.230095912556,2.90163399401983e-29,2.22458606208187e-26,4.73923880243258e-25
"IFI27",13950.5791083827,4.93974201846014,0.443373127753295,11.141275168144,7.89803043855091e-29,5.7364642132633e-26,1.28998531152852e-24
"UCHL1",188.733091329483,2.57007989020979,0.234741180647667,10.9485684749423,6.75060170060251e-28,4.65791517341573e-25,1.10257577575941e-23
"PCLAF",97.3112532749269,2.87185120998382,0.265070423929858,10.8342951560064,2.36781801996198e-27,1.55599469883216e-24,3.86735717200391e-23
"KDELR2",1318.7970984101,0.900483729404356,0.0834866007979549,10.7859670988834,4.01002991254192e-27,2.43470769123607e-24,6.54958185615471e-23
"SSR3",995.759834481041,1.29071453643975,0.119678184920056,10.7848772715089,4.05784615206012e-27,2.43470769123607e-24,6.62768012015979e-23
"CCNB2",236.63611116974,2.32437954383766,0.216985460539133,10.7121442057103,8.92698686609935e-27,5.13301744800713e-24,1.45804476484001e-22
"KIFC1",310.529732588512,1.97291856959277,0.184661923259604,10.6839489959128,1.21011921606099e-26,6.67985807265665e-24,1.97648771559241e-22
"PDIA6",1040.29249857121,1.4076678335992,0.132424297518252,10.6299815062653,2.16155338098226e-26,1.14728602529058e-23,3.53046513715832e-22
"UBA5",425.38246129852,1.14476868594061,0.107988209929246,10.6008673233001,2.95229405377248e-26,1.50895029415038e-23,4.82198187802659e-22
"CENPA",82.8849017766545,2.34373173186852,0.222871777857356,10.5160543627402,7.28612267547982e-26,3.59101760434362e-23,1.19004241658612e-21
"DHRS3",868.532562945668,-1.34415232299584,0.127917588848476,-10.5079554351829,7.93961348761465e-26,3.77816090100283e-23,1.2967770709321e-21
"LMAN1",545.717432131408,1.48613534142254,0.142724791668876,10.4125942244877,2.17220122953954e-25,9.99212565588189e-23,3.54785626820693e-21
"TPX2",173.851967868775,1.97901696913571,0.190844055762474,10.3698119453027,3.40193576925531e-25,1.51441011663624e-22,5.5563816919247e-21
"CDK1",178.464023439069,2.10282450567648,0.203523128774437,10.3321156584961,5.04357079200808e-25,2.17503990405349e-22,8.2376641745868e-21
"NUSAP1",160.314941325272,1.8327626818128,0.17788925388228,10.3028296640428,6.84185758091491e-25,2.86114044292805e-22,1.11748059869083e-20
"ARHGAP11A",64.5917653643407,2.29271102655019,0.22305302967909,10.2787710610734,8.78404691210364e-25,3.5652896290303e-22,1.43469838215389e-20
"CCNA2",159.094228108564,2.13425504634225,0.207783482020404,10.2715337407459,9.46871678556466e-25,3.6619413783045e-22,1.54652551258628e-20
"TNFRSF17",27.158784690478,2.6716929167905,0.260128142887251,10.2706800084622,9.55289055209869e-25,3.6619413783045e-22,1.56027361387428e-20
"TOP2A",160.322774353097,2.31393414917835,0.225453525282669,10.2634640388842,1.02946129836372e-24,3.83961241011334e-22,1.68141913861747e-20
"BUB1",113.867683886833,2.49242601181576,0.248868405435825,10.0150358879463,1.30914388188623e-23,4.75425936053421e-21,2.13822470228478e-19
"NCAPG",153.396185696548,2.17343729660215,0.217207437118277,10.0062747640572,1.4303748116531e-23,5.06132625661866e-21,2.33623117987301e-19
"TIGAR",1352.90317546645,1.19044225186069,0.119403188819641,9.96993684698704,2.06360008339012e-23,7.11942028769593e-21,3.37047801620109e-19
"MCM4",543.060890720234,2.10760267195826,0.211460213883854,9.96689936725346,2.12767493518727e-23,7.16144246477665e-21,3.47513147164136e-19
"CDC20",349.622393095893,2.30159713181621,0.231831630034996,9.92788228020815,3.14871621576675e-23,1.01484317796924e-20,5.14279819521184e-19
"DLGAP5",106.747042402224,2.27480569406352,0.229142855850701,9.92745632683254,3.16219251106359e-23,1.01484317796924e-20,5.16480902832016e-19
"DERL3",507.48441876052,2.07991004112285,0.209598290947735,9.92331584250127,3.29620107997021e-23,1.03380852053611e-20,5.38368522391534e-19
"ARF3",993.739929910625,1.54436926848902,0.156708039350769,9.85507364451264,6.51689023062867e-23,1.99851300405946e-20,1.06440368136858e-18
"DHFR",58.8389850177634,1.84765339212471,0.18973588602174,9.73802811300023,2.07542416146958e-22,6.22627248440873e-20,3.38979028292826e-18
"MCM2",557.898029389702,1.54961165514375,0.159508054710532,9.71494297235286,2.60394747645586e-22,7.64563301597678e-20,4.25302741329535e-18
"KIF2C",113.792508784823,2.27996541012396,0.234816122326574,9.70957780723874,2.74471627782559e-22,7.89105929874857e-20,4.48294509657253e-18
"IL2RA",379.142427364132,2.82967360837352,0.291796214587589,9.69743083327124,3.09185878634189e-22,8.70768392888125e-20,5.04993295573221e-18
"TRIP13",151.338511730265,2.04400915219798,0.211375065703094,9.67005803356709,4.04148835972979e-22,1.11545078728542e-19,6.60096293794666e-18
"UHRF1",96.8093380574841,2.50107705156455,0.259340123611566,9.64400346824312,5.21148986320712e-22,1.4101678453384e-19,8.51192639357618e-18
"MYL6B",116.231268083119,2.18810917087402,0.227155999842368,9.63262767610112,5.82212536407828e-22,1.54510250046693e-19,9.50927735714905e-18
"SEC13",1360.35472977925,0.907469073669581,0.0943713657247928,9.61593664243406,6.84831945400189e-22,1.78314732953257e-19,1.11853601642213e-17
"CDCA2",58.2366725191777,2.13032312138584,0.222742068112394,9.56408072996295,1.13202999612877e-21,2.8929655456624e-19,1.84894459267711e-17
"LRRC59",1287.77122467794,0.865272502739673,0.0906529103987018,9.54489490667323,1.36245671102816e-21,3.41852774767066e-19,2.22530054612229e-17
"PSAT1",167.691787862277,2.09754058038364,0.220108154783254,9.52959049813101,1.57904865131335e-21,3.89122703359362e-19,2.5790601621901e-17
"FOXM1",86.9682665700295,2.37845894826721,0.250520754551973,9.49405949427547,2.22208145144928e-21,5.37977614561404e-19,3.6293256346521e-17
"KIF11",103.404456140417,2.32876657416387,0.245439086072019,9.48816511433941,2.35136622429603e-21,5.59462998194572e-19,3.8404864541427e-17
"CHAF1A",121.551067601475,1.89713128321367,0.200220705774898,9.47520025899097,2.66249507401924e-21,6.22753085109584e-19,4.34865320439562e-17
"RAD51",115.93745974142,2.03200714101554,0.214629641905851,9.46750468841063,2.86608352387942e-21,6.59199210492267e-19,4.68117421955226e-17
"GMPPB",547.12850168429,1.33500500697072,0.141039965077394,9.46543773063292,2.92334056637763e-21,6.61345898623136e-19,4.77469214706459e-17
"UBE2T",58.529791174127,2.10347367436199,0.222793298827982,9.4413686831132,3.67941379700018e-21,8.18966296751652e-19,6.00958655464039e-17
"CDKN3",66.7095754727827,2.14892105591493,0.22840823667268,9.40824677436848,5.0448120238464e-21,1.10505406236636e-18,8.23969147854833e-17
"GNL3",305.685864706777,1.28986267181137,0.137853574596026,9.35675897843963,8.22200673005166e-21,1.77287020116739e-18,1.34290035921934e-16
"CDCA5",60.0757910219831,2.29590243654198,0.245827762253151,9.33947580004281,9.68122313919819e-21,2.055398143399e-18,1.58123417532524e-16
"POU2AF1",90.0906923683102,2.09947664655411,0.225179412401816,9.32357280872438,1.12487223762249e-20,2.35200558775611e-18,1.8372538257088e-16
"MCM5",783.169357956271,1.51902193737299,0.162963468666217,9.32124205385114,1.14986239368706e-20,2.36837328848977e-18,1.87807024760908e-16
"SKA3",29.3210558905724,2.67458760215008,0.290114170758971,9.2190863864149,2.99642322504552e-20,6.08097654494532e-18,4.89405805346685e-16
"CDCA8",180.47376367405,1.61601326770126,0.17535293546747,9.21577539259986,3.09036556108419e-20,6.18073112216837e-18,5.0474940709188e-16
"SPAG5",165.691916731841,2.14633794232489,0.233738089067514,9.18266231613165,4.20562511671002e-20,8.29108951579975e-18,6.86904750312247e-16
"SRPRB",937.408070612628,0.892174484345114,0.0972981375030597,9.16949190643097,4.7525376063568e-20,9.23732661517238e-18,7.76231967246257e-16
"NUF2",70.3252507387287,2.1386064744133,0.23406338434652,9.13686897412025,6.42865923111591e-20,1.23215968596388e-17,1.04999291221816e-15
"ITM2C",864.29283758043,2.04962824870445,0.224562055317248,9.12722430247115,7.0278005715293e-20,1.32854312174116e-17,1.14785066734788e-15
"CCR5",333.930750852538,1.5251524835167,0.168143684329596,9.07053089503552,1.18438510977827e-19,2.20871817769462e-17,1.93445619980086e-15
"SKA1",64.0408879013777,2.47211007547377,0.272769897565778,9.06298714607108,1.26925994633801e-19,2.33543830126194e-17,2.07308227035387e-15
"HASPIN",86.7922327961805,2.13283174419739,0.23610440227533,9.03342641493918,1.66378864275255e-19,2.99752435831396e-17,2.71746599020774e-15
"SEC11C",328.695835868977,1.5114117145003,0.167323845924277,9.03285306497373,1.67253170717518e-19,2.99752435831396e-17,2.73174603732922e-15
"GZMK",973.022704319581,2.43416496045623,0.2696076706195,9.02854490327759,1.73969567633807e-19,3.07792311967505e-17,2.84144494816298e-15
"PARPBP",16.1436025231304,2.52484613266909,0.279874992068029,9.02133525404579,1.85810509075757e-19,3.24580382942462e-17,3.03484304473434e-15
"PLA2G7",2212.17831137759,-1.76158496515895,0.195735868316371,-8.99980662875581,2.26115589857383e-19,3.90049392503985e-17,3.69314592914064e-15
"IL12RB2",283.872445639506,2.35552646279484,0.261836997964305,8.99615593330307,2.33759190981647e-19,3.98256399450213e-17,3.81798886630324e-15
"BUB1B",69.4468627477282,2.27464943745544,0.252899133376447,8.99429510527254,2.37752947798551e-19,4.00120814587806e-17,3.88321889639374e-15
"ASPM",67.1124002712443,2.16043359391066,0.240333826853411,8.98930301321418,2.48803198854163e-19,4.13672788456319e-17,4.06370264688505e-15
"SPC25",50.5145254109738,2.51202735186845,0.280443897270438,8.95732578358106,3.32647735185363e-19,5.46492707804524e-17,5.43313545878253e-15
"CDCA3",131.423298273397,2.09100890797628,0.233557631701352,8.95286055413522,3.46387303670637e-19,5.62369975371152e-17,5.65754383085252e-15
"TK1",334.874787664788,2.00828506787947,0.224509405425047,8.94521574308804,3.71223897588809e-19,5.95684858921576e-17,6.06319991931801e-15
"LTF",2250.29171663637,3.91975453198805,0.439469046680674,8.91929604961737,4.69261396788785e-19,7.44345663871866e-17,7.66444639375123e-15
"TEDC2",78.0402470741104,2.33354292375385,0.263412748573831,8.85888377228556,8.08195778533868e-19,1.26739792542811e-16,1.32002616507937e-14
"SPATS2",156.395903871223,1.41613534471673,0.160063648486228,8.84732641114686,8.96409154547822e-19,1.38538367161387e-16,1.46410507212296e-14
"HMGB3",77.9771203034923,1.76420452003039,0.199444547076493,8.84558914189696,9.10466666689739e-19,1.38538367161387e-16,1.48706520670435e-14
"MANF",1242.16617144639,1.41194299254841,0.159627949252431,8.84521162591399,9.13550102296105e-19,1.38538367161387e-16,1.49210138208023e-14
"TNFRSF13B",231.791241148931,2.37021680931219,0.268048674040949,8.84248660357148,9.36115265288776e-19,1.40417289793316e-16,1.52895706279616e-14
"HMMR",26.6887999157413,2.2048277672349,0.249483954976756,8.83755337067798,9.78375070147439e-19,1.45178236215426e-16,1.59798000207181e-14
"CDC45",106.099961306447,2.28302524240341,0.258428318224069,8.83426885293555,1.00755065466824e-18,1.47917011004486e-16,1.64563248426964e-14
"SGO2",29.7368353944672,2.33844311161095,0.265607806536487,8.80412041386939,1.31882740936856e-18,1.91577034203011e-16,2.15404080772166e-14
"CDC25C",17.8034443822627,2.82433523421898,0.321652443295196,8.78070505320848,1.62453048584676e-18,2.33526257340471e-16,2.65334564253351e-14
"CEP55",37.3591969782164,2.70103852271088,0.308513141398577,8.75501935012011,2.04068471147599e-18,2.90324216684213e-16,3.33305033925374e-14
"CENPN",120.047918144354,1.40479533621348,0.160924204555952,8.72954655944897,2.55695678362734e-18,3.60061261367932e-16,4.17627751469854e-14
