"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"GADD45A",3129.72308855248,4.81007803907097,0.274881578401024,17.4987282416341,1.46503947866218e-68,2.47445167946042e-64,2.76291795280901e-64
"PFKFB2",8340.16460248058,5.75331045350856,0.336714265914163,17.0866251772511,1.86669100732273e-65,1.57642055568405e-61,3.52039257070994e-61
"GAS7",21207.3329012671,2.97350645205981,0.180077861941635,16.5123376077374,2.99070838188868e-61,1.68376881900333e-57,5.64017693740386e-57
"GYG1",13032.3936940214,4.16966041719247,0.255932554027013,16.2920283159929,1.12437492031347e-59,4.74767310102361e-56,2.12045866221917e-55
"PFKFB3",24867.6910448987,4.62718321223352,0.286714463728817,16.138645926876,1.36503197372937e-58,4.61107800725781e-55,2.57431379925622e-54
"IL18R1",7110.73291317805,4.86232120425337,0.310252665309674,15.6721335476687,2.34571163270208e-55,6.60317824605635e-52,4.42377756811285e-51
"IRAK3",15983.7669895577,3.75105770597642,0.244542823779061,15.3390626967055,4.19204124379653e-53,1.01147966582462e-49,7.90577058167587e-49
"MCEMP1",18861.8170574998,5.05788186337029,0.333897144750554,15.148023703973,7.80793732659409e-52,1.64845076807718e-48,1.47249890042238e-47
"MAPK14",22829.5240044623,3.20363058612477,0.215197298165979,14.8869461346762,4.00656215523851e-50,7.51898164466427e-47,7.55597556856431e-46
"ATP9A",2247.11942739909,4.70374766502254,0.318267408991789,14.7792313385877,1.99429151031866e-49,3.36835836092822e-46,3.76103435930996e-45
"FKBP5",28486.6953345228,3.76295752046851,0.257624266601747,14.6063783901442,2.55756707197297e-48,3.92702798596577e-45,4.82331574103382e-44
"SLC2A3",45022.0170766723,3.16775848183765,0.21761428921057,14.5567577080034,5.29083189498823e-48,7.44684589219594e-45,9.97797987075831e-44
"MKNK1",16684.2541772384,2.88033958456959,0.197993270233483,14.5476640755161,6.04316015258742e-48,7.85145961363089e-45,1.13967957317646e-43
"ETS2",8000.68147912024,2.86187049104246,0.197097308214214,14.52008917307,9.03925755045446e-48,1.09052185733697e-44,1.70471358144021e-43
"TMCO3",3273.6176151533,2.58555611880264,0.178550483173371,14.480812781067,1.60191663190172e-47,1.80375812752134e-44,3.02105457610346e-43
"STOM",16772.7699720083,3.47465899285917,0.241228828054267,14.403995662067,4.88365416277598e-47,5.15530742558039e-44,9.21008338557922e-43
"SAMSN1",4292.67750677302,3.43345118205841,0.243076223542604,14.1249980439022,2.6640725544339e-45,2.64683443790521e-42,5.0241744304069e-41
"AGFG1",8689.06173085616,3.07013126347617,0.217776739211251,14.0976087464421,3.9285743505756e-45,3.68631226562344e-42,7.40889836775053e-41
"GPR84",2458.12717320009,5.28540632044855,0.376708227145416,14.0305040866769,1.0142805320042e-44,9.01642009765834e-42,1.91283165530671e-40
"ACVR1B",3075.31705975954,2.54795094294952,0.182116153310855,13.9908014562575,1.77401418422249e-44,1.49815497857589e-41,3.34561335002519e-40
"NLRC4",5460.84540556653,2.7672840441712,0.198192513972247,13.9626062998459,2.63614437284697e-44,2.12021325987549e-41,4.97150467275209e-40
"GRB10",2665.54540552088,4.35550051878923,0.31484063154232,13.8339848241722,1.58964812394382e-43,1.22041621879142e-40,2.99791739694566e-39
"IL1R2",33978.3156419387,4.71496647181472,0.341797656923944,13.794613205508,2.74621870133139e-43,2.01667973328205e-40,5.17909384884087e-39
"SLC1A3",917.195426998263,6.07827381241064,0.441388798448338,13.7707930826026,3.81996461112313e-43,2.68830009507791e-40,7.20407126011712e-39
"MMP8",23778.3687995336,9.25199804098778,0.67626434284199,13.6810378055812,1.31798083792188e-42,8.90427854100021e-40,2.48558006223687e-38
"SORT1",10206.0227817555,3.30961162915032,0.242496238866387,13.6480946864248,2.07226045229262e-42,1.34617227073932e-39,3.90807598697865e-38
"SLC2A14",1489.40580213218,3.13072037637609,0.229901285243043,13.6176723547518,3.14430308417932e-42,1.96693626265884e-39,5.92984118645378e-38
"SIPA1L2",4986.02366112811,3.75955330051005,0.27617727952706,13.6128261779828,3.35995093881244e-42,2.02677040559079e-39,6.33653147550638e-38
"RABGEF1",2460.63449709405,2.05973725643062,0.151923840410093,13.5576960855565,7.13418722467615e-42,4.07976762481803e-39,1.34543636870167e-37
"ERLIN1",2566.90990282254,2.89457416534285,0.213518491360576,13.5565502870413,7.24647890731444e-42,4.07976762481803e-39,1.36661345713043e-37
"FCAR",10871.1174667189,3.41595656384152,0.252211510700998,13.5440153161416,8.59588277739172e-42,4.68336968097246e-39,1.6210975329883e-37
"KIF1B",6365.73280974154,3.1537019571408,0.233092688797285,13.5298192895424,1.04279669268781e-41,5.50401129359287e-39,1.96661028273995e-37
"SOCS3",13699.9102393717,4.21525806340315,0.312134627728494,13.5046152811656,1.46879010273787e-41,7.51753479855836e-39,2.76999125475335e-37
"CD55",26113.6668335396,3.0345444944435,0.226338208218949,13.4071243133109,5.49276698080921e-41,2.72861277370199e-38,1.03588092491081e-36
"TBC1D8",5104.56997479706,3.1763897372525,0.237039151481674,13.4002746693855,6.02398012272237e-41,2.90700069350802e-38,1.13606241134421e-36
"METTL9",11728.8978884703,2.33355988895225,0.17427146858131,13.3903725489264,6.88346047933662e-41,3.2294902082221e-38,1.29815181179809e-36
"ENTPD7",1768.18219141184,3.95341946509975,0.295398890788894,13.3833253555615,7.56840181515666e-41,3.45487315291881e-38,1.4273248983204e-36
