"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"IFI27",12941.2490413738,8.12903943351163,0.477993352679877,17.0065951501962,7.33803456280404e-65,9.59081117358488e-61,9.59081117358488e-61
"EIF4B",5183.29363281501,-1.43539362829324,0.105367067469004,-13.6227918530189,2.93143360633031e-42,1.91569186173686e-38,3.83138372347372e-38
"LMNB1",2360.29800527745,2.79101765303011,0.214778918323566,12.9948398791423,1.30881408075407e-38,5.70206667848523e-35,1.71062000354557e-34
"C1QC",281.917103035019,5.68370481263763,0.440829993170857,12.8931898933536,4.91672373300068e-38,1.60653947975797e-34,6.42615791903188e-34
"TMT1B",231.402238092286,6.68070675095434,0.522719556974771,12.7806711300775,2.10247422267872e-37,5.49586761808218e-34,2.74793380904109e-33
"IFI44",3701.37441799117,5.69736974451711,0.452195081004568,12.5993624960718,2.12857965173912e-36,4.63675600803837e-33,2.78205360482302e-32
"NTNG2",4130.93250022988,3.41144165922748,0.27118888106723,12.5795779155922,2.73487190552867e-36,5.10639654360852e-33,3.57447758052597e-32
"IFI44L",6695.34227481811,6.23878835520319,0.502715915950551,12.4101667706436,2.30172859995157e-35,3.76044910017087e-32,3.0083592801367e-31
"RSAD2",10721.864265678,6.9193395790448,0.56203768059226,12.3111667028328,7.88746668658819e-35,1.14543543993008e-31,1.03089189593708e-30
"CLEC4D",499.971279150606,4.42671064080004,0.365516795610603,12.110826900321,9.25563374736444e-34,1.01761722435324e-30,1.20971133078053e-29
"CHMP5",837.753176486092,3.46906151375739,0.28650804855071,12.1080770027421,9.57117773063557e-34,1.01761722435324e-30,1.25095292939407e-29
"PLSCR1",3634.71050972135,3.89407993680908,0.321746735920057,12.1029353279178,1.01901133334141e-33,1.01761722435324e-30,1.33184781267722e-29
"KIAA1958",268.127074625273,3.64597078287942,0.301272141956617,12.1019180837651,1.03171961732198e-33,1.01761722435324e-30,1.34845753983983e-29
"CEACAM1",2420.69827811207,3.72167098854134,0.307642092232926,12.0974050121969,1.09002610106698e-33,1.01761722435324e-30,1.42466411409454e-29
"OASL",9614.44830313518,4.55949025807932,0.378836193048723,12.0355191550901,2.31175182621791e-33,2.01430642457787e-30,3.0214596368668e-29
