"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"IRF7",27321.8619202853,2.9341816419167,0.291533764286191,10.0646374498025,7.91785169804507e-24,1.10818252365839e-19,1.49322765173432e-19
"SPATS2L",2941.48103047717,4.27439866880564,0.446681810223819,9.56922482843854,1.07710201816292e-21,7.53755992310412e-18,2.03130669605345e-17
"RPL6",13760.0360805445,-1.83403968549948,0.19362607502742,-9.47206973668061,2.74352768407249e-21,1.27994711554262e-17,5.1740188593923e-17
"PLSCR1",9975.78866333976,3.04635376090891,0.322671774935343,9.44102954626055,3.69134341365932e-21,1.29160106043939e-17,6.96150454382011e-17
"TOR1B",4085.85427796899,2.21496551356514,0.238518586978195,9.28634343187531,1.59679866350655e-20,4.46975881888753e-17,3.011402599507e-16
"TRIM26",4929.37963150078,1.15348604292499,0.126073563224956,9.14930944615878,5.72986386199132e-20,1.33658624354051e-16,1.08059502573294e-15
"RPS6",27966.2650696386,-1.96514205558556,0.21700784031461,-9.05562698903672,1.35785423506348e-19,2.7149325534212e-16,2.56077730190621e-15
"RPL36A-HNRNPH2",5484.04477501443,-1.80448229635157,0.200422923758696,-9.00337278047155,2.18887598435112e-19,3.82943853462228e-16,4.12800121888777e-15
"TCN2",1951.65405408285,2.80807436344368,0.313319393316884,8.96233818697478,3.17865232519898e-19,4.94315754927611e-16,5.99462042009276e-15
"IFI27",8962.5577396358,5.67846017196132,0.634917813385539,8.9436145155266,3.76644670015231e-19,5.27151880153318e-16,7.10314183181725e-15
"CDKN1A",2580.6135943522,2.16908685747383,0.243174050959973,8.91989440859734,4.66732994584401e-19,5.93854090200298e-16,8.80211754486722e-15
"RUBCN",5495.79101565933,1.69055262003522,0.192485499631729,8.782753107479,1.5952107458131e-18,1.86054746653335e-15,3.00840794552893e-14
"OAS1",25847.6862348881,3.12932505400092,0.356884991907275,8.76844116441293,1.81156795346359e-18,1.95036192897511e-15,3.41643600343698e-14
"FBXO6",3155.28888444026,2.41668055294675,0.275937485628416,8.75807267520411,1.98617102107488e-18,1.98560354364029e-15,3.74571992864512e-14
"RPL4",32783.1617060367,-1.80094382303181,0.206296104382313,-8.72989738911529,2.5490377959562e-18,2.3784221994802e-15,4.80723037939381e-14
"TRIM14",8409.24204586979,1.35788655008371,0.155953455702552,8.70699878990557,3.12026427324184e-18,2.7294511730183e-15,5.88450639290679e-14
"IL1RN",20310.3086258764,2.98928350071805,0.346525903236383,8.62643592527889,6.32934347658434e-18,5.21091125283967e-15,1.19365088624904e-13
"OAS2",26636.0042879689,3.02324067977947,0.351377332396125,8.60397185886545,7.70038687454379e-18,5.9874785942286e-15,1.45221596067021e-13
"KLHDC7B",1293.80589835968,2.1520594542693,0.250715089825361,8.58368539272346,9.18810385213806e-18,6.75800343021279e-15,1.73278450547472e-13
"TRIM5",3100.50035417797,2.01875002544759,0.235341505439856,8.57796002313543,9.65704977166733e-18,6.75800343021279e-15,1.82122301643874e-13
"RPL3",43892.37808244,-1.98597652825918,0.232625885000094,-8.53721213466155,1.37498981580034e-17,9.1639797437817e-15,2.59309329361786e-13
"TMEM140",7251.37281123349,2.23359477325443,0.262185893852836,8.51912641230098,1.60761298515773e-17,1.02273415183035e-14,3.03179732870897e-13
"EEF1B2",4128.5449421111,-2.27949235791186,0.271348451028108,-8.40060943511977,4.44167388879459e-17,2.70285511945952e-14,8.37655278687771e-13
"RPS14",12530.3682666398,-1.95535195760569,0.233347888875325,-8.37955709404513,5.3127240073904e-17,3.09820355030983e-14,1.00192662055375e-12
"PML",17370.5072669035,2.37617237969735,0.284945968437412,8.33902789615807,7.49037423712548e-17,4.19341111291233e-14,1.41260967737949e-12
"OASL",13527.0340812701,3.15980448661048,0.381331440710073,8.28624170282588,1.1688313442796e-16,6.2919090363605e-14,2.2042990321769e-12
"CSRNP1",5864.28781861459,2.24798840852512,0.271708984119665,8.27351519423836,1.30066217847206e-16,6.74224735181294e-14,2.45291880238045e-12
