"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"IFI27",12941.2490413738,7.46271728492063,0.360441269907538,20.7043918329191,3.16200625388567e-95,4.13274217382857e-91,4.13274217382857e-91
"CDC6",87.4956713090898,2.99423029893863,0.189171534697929,15.8281228923783,1.99071912187493e-56,1.30093494614527e-52,2.60186989229053e-52
"RRM2",511.800077104985,3.07604647125515,0.200468957927076,15.3442533101515,3.86986510750695e-53,1.6859712318372e-49,5.05791369551159e-49
"JCHAIN",4416.32395837075,3.86693624673559,0.264426854434955,14.6238408916474,1.97912767395358e-48,6.46679967464332e-45,2.58671986985733e-44
"TMT1B",231.402238092286,5.80838684098567,0.403689020608757,14.3882705361338,6.13099326341845e-47,1.60264163905758e-43,8.01320819528791e-43
"HJURP",85.2762436989319,2.4699675278029,0.178219303617148,13.8591470041253,1.11997254084167e-43,2.43967351813345e-40,1.46380411088007e-39
"FOXM1",179.502587221666,2.36419862229088,0.174624468365378,13.5387591694431,9.23354354909697e-42,1.72403448838139e-38,1.20682414186697e-37
"CDC25A",43.3135673799923,3.36634764477291,0.253241766342523,13.2930191310534,2.54114123192183e-40,4.15158948765229e-37,3.32127159012183e-36
"ADAMTS2",168.155567351405,5.3747161275646,0.410320145158095,13.0988356067522,3.343476650962e-39,4.85547109200814e-36,4.36992398280733e-35
"BUB1",139.074290073073,2.73647794155677,0.209349886227029,13.0713132491947,4.80291360958915e-39,6.27740808773302e-36,6.27740808773302e-35
"IFI44L",6695.34227481811,4.94586903107894,0.37865989222228,13.0615075234206,5.46350366932738e-39,6.49163572346444e-36,7.14079929581088e-35
"IFI44",3701.37441799117,4.42685703644965,0.340718569916194,12.9927084324711,1.34578721262434e-38,1.46578657241668e-35,1.75894388690002e-34
"RNASE1",305.948890516179,4.84713532570266,0.373645869448587,12.9725382294628,1.75133262474175e-38,1.76076287733651e-35,2.28899174053746e-34
"DUSP13B",107.057541251494,3.31433608887577,0.257185266977348,12.8869593807941,5.33042983600417e-38,4.97633699689818e-35,6.96687179565745e-34
"BIRC5",155.152885602958,2.58433694024038,0.201788822381202,12.8071362414627,1.49552711468962e-37,1.30310262593289e-34,1.95465393889934e-33
"SDC1",79.649682853172,5.03924600078835,0.395175917712389,12.7519056068997,3.0421673919811e-37,2.48507048832456e-34,3.97611278131929e-33
"TYMS",221.560702648704,2.63781930318214,0.207136104455853,12.7347152255841,3.79227246132012e-37,2.91558829820317e-34,4.95650010694539e-33
"CDC45",62.6637297873031,2.69815711201372,0.212495794635946,12.6974612209916,6.10791307065908e-37,4.43502354630634e-34,7.98304238335142e-33
"UBE2C",122.106913339038,2.18511274087812,0.17266308862459,12.6553553413438,1.04501670345427e-36,7.18861490218277e-34,1.36583683141473e-32
"CCNA2",67.8106917166359,2.42494092979485,0.192020359730185,12.6285615400483,1.46939785966718e-36,9.60251501292499e-34,1.920503002585e-32
"CDK1",44.7146881151961,3.44896590875939,0.273734370810845,12.599681576497,2.11998635198385e-36,1.31943912478233e-33,2.77082216204289e-32
"MCM10",38.8900576232472,3.26381384438925,0.26176815160788,12.4683382005858,1.11119213207217e-35,6.60149143917419e-33,1.45232811661832e-31
"HMGB2",2120.87449461854,2.07700735349268,0.166911729604211,12.4437471136257,1.5123891584402e-35,8.59431578296238e-33,1.97669263008135e-31
"SHCBP1",88.6535135203148,2.14998565283095,0.173748322292036,12.3741376288932,3.60748099464688e-35,1.96457402500144e-32,4.71497766000347e-31
"OTOF",1517.22805491003,5.08928819401962,0.412181748026504,12.3471944558117,5.04398990874355e-35,2.63699792429113e-32,6.59249481072782e-31
"CDC20",157.620905300083,3.06381701889738,0.24857256904495,12.3256440993026,6.59146943421985e-35,3.31348098097129e-32,8.61505055052535e-31
"RNASE2",3437.28881278416,3.2035849554644,0.260596175680374,12.2932922829752,9.84146484052953e-35,4.76399798021189e-32,1.28627945465721e-30
"GMNN",80.2634613309442,1.59922858163115,0.130253282084308,12.2778371188837,1.19140912189955e-34,5.56132757972397e-32,1.55717172232271e-30
"NCAPG",66.1532248912542,3.00233534005935,0.246268178025801,12.1913247749971,3.4575446750578e-34,1.55827961734502e-31,4.51901089030055e-30
"PKMYT1",96.5004831157159,2.45452151710789,0.20175705212878,12.1657284898333,4.7320479138549e-34,2.06159554113612e-31,6.18478662340835e-30
"C1QC",281.917103035019,4.07265039257863,0.335480207648722,12.1397635381312,6.50136455321963e-34,2.74105918421227e-31,8.49728347105805e-30
"RSAD2",10721.864265678,5.12845497061647,0.423254232851746,12.1167245890553,8.61331018941953e-34,3.51799888049104e-31,1.12575964175713e-29
"CDCA5",123.123753782653,2.42174569262043,0.200067627430465,12.1046354361458,9.98118298032687e-34,3.95315338039007e-31,1.30454061552872e-29
"BHLHA15",30.8191680819219,4.08975023648082,0.338649606572809,12.0766425151642,1.40333765618781e-33,5.39459504893373e-31,1.83416231663747e-29
"KIF4A",42.6895915491678,2.8068869504988,0.235204975853721,11.9337906875085,7.88971630723232e-33,2.94624548958647e-30,1.03118592135526e-28
"MZB1",2564.85307013376,3.41824543819895,0.287779189003748,11.8780147029827,1.53981055169056e-32,5.59036775294324e-30,2.01253239105957e-28
"FAM20A",319.514437350602,4.17843253027741,0.353031846771653,11.8358515484868,2.54744835052084e-32,8.99868917332632e-30,3.32951499413074e-28
"DLGAP5",59.0873794216378,2.98383367854003,0.254824704224779,11.709357958905,1.14140647213356e-31,3.92583752389094e-29,1.49181825907856e-27
"TXNDC5",5218.73750561944,2.61585757185578,0.225492539967169,11.6006390820585,4.0901236745646e-31,1.33801237596016e-28,5.34579164265593e-27
"NEK2",23.6006307741207,2.43703164436317,0.210079174065202,11.6005389644516,4.09491163262483e-31,1.33801237596016e-28,5.35204950384065e-27
"CAV1",26.7477742803516,3.33542585629206,0.287720006385456,11.592610114931,4.49230775311847e-31,1.43206005690874e-28,5.87144623332583e-27
"KIFC1",129.524720509296,2.26761452697105,0.196384146183955,11.5468308976782,7.65928844265205e-31,2.3834976177491e-28,1.00106899945462e-26
