"GeneSymbol","baseMean","logFC","lfcSE","stat","PValue","FDR","Bonferroni_pvalue"
"FNDC1",380.719167406441,4.39691196077901,0.322125228161626,13.6496976218605,2.02717967766113e-42,3.70021106563485e-38,3.84941148991071e-38
"MYO3B",23.5939158284895,4.04567176808569,0.323875490652611,12.4914415719869,8.31335109979453e-36,7.58717988122748e-32,1.57862224033998e-31
"RET",66.2686638227839,2.48829896654789,0.207097085651316,12.0151327032065,2.95894252792762e-33,1.80031926540876e-29,5.61873596628175e-29
"HPSE2",368.771757227088,3.97993726314416,0.344138490310269,11.5649291642906,6.20424763594695e-31,2.83115330247349e-27,1.17812458358997e-26
"CRABP2",308.98824667876,3.12962361594147,0.273655077159807,11.4363806015331,2.75125279027424e-30,1.00437234361751e-26,5.22435392345176e-26
"IGLL5",18444.9982732047,4.51458236965568,0.399180050062459,11.3096392691701,1.17571896880384e-29,3.57673305626274e-26,2.23257274986161e-25
"JCHAIN",14701.30961467,3.85080783446834,0.346579240359773,11.1109015948876,1.11032737478056e-28,2.8952579388385e-25,2.1084006519708e-24
"DEFA3",473.202045741863,-6.15882222377988,0.570799447586143,-10.7898181223282,3.84549827007421e-27,8.77398499045808e-24,7.30221666504393e-23
"TMEM59L",110.224287758691,2.91816800871882,0.272371698632712,10.7139178680011,8.75753810745076e-27,1.77612603416999e-23,1.66296891122382e-22
"ZDHHC19",59.3470107133696,-3.52566688638298,0.329775095408063,-10.6911253623332,1.12003619329003e-26,2.04440206361229e-23,2.12683672743844e-22
"LY6D",137.521902612789,6.38414024002749,0.599074518177472,10.6566713260473,1.62302782965843e-26,2.69319336134139e-23,3.08196754573839e-22
"THSD7B",80.3828559995697,4.647690087585,0.438813471701228,10.5914936238545,3.26342564801509e-26,4.96394236276829e-23,6.19691896301586e-22
"CBS",411.730255301528,-2.42607747393457,0.229530283692424,-10.5697489451351,4.11594984835999e-26,5.77911019862422e-23,7.81577716705078e-22
"IGLL1",775.947213084834,3.96195809748417,0.379866368480394,10.429873308694,1.81129637953381e-25,2.32526884798595e-22,3.43947069509675e-21
"COL25A1",90.4846589979792,3.83622640393058,0.367990859296719,10.4247872114599,1.91086576013747e-25,2.32526884798595e-22,3.62854299192504e-21
"LOC102724560",394.881431141214,-2.40437060548405,0.232399450699689,-10.3458532205871,4.37006086719536e-25,4.5912935477439e-22,8.29830858071727e-21
"AMPD1",111.014544651308,4.66174556923094,0.45103661810043,10.33562549503,4.86229507182137e-25,4.5912935477439e-22,9.2330121118816e-21
"DEFA1B",529.842083607645,-6.11706484484341,0.591851800483852,-10.3354671555321,4.87033213171582e-25,4.5912935477439e-22,9.24827368491517e-21
"CLCA2",388.52150900729,4.77717086776797,0.462404861362507,10.3311432619712,5.09496702472062e-25,4.5912935477439e-22,9.67483288324199e-21
"MMP16",112.941767348731,3.90452239793007,0.377998642051913,10.3294614412764,5.18508791972106e-25,4.5912935477439e-22,9.84596345075832e-21
"DEFA1",529.181943138167,-6.11215414259711,0.591822565973317,-10.3276801088938,5.28226398414627e-25,4.5912935477439e-22,1.00304910794954e-20
"GREM2",230.681512293704,2.85071970918359,0.277482038575102,10.2735287798169,9.27487007508686e-25,7.6951910672982e-22,1.76120507855824e-20
"STUM",167.010359480978,2.52625864073441,0.2465712952634,10.2455504321204,1.23917522595995e-24,9.83420234758566e-22,2.35306983657535e-20
"COCH",43.1310590973606,2.47809348436711,0.246304762837346,10.0610863379998,8.20874878443917e-24,6.24309548176534e-21,1.55875930667715e-19
"DGKB",16.1976663577803,3.08233483379884,0.30660431647162,10.053135811231,8.89896936564465e-24,6.49731551324447e-21,1.68982529284226e-19
"GRIN2A",61.9494953691418,3.79165324096532,0.377843555452874,10.0349819025515,1.06979020086282e-23,7.51033866782653e-21,2.0314246124184e-19
