"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"MYO7B",8.68470677521149,5.19650856310255,231.392055812585,2.11665400242914e-21,3.48189583399593e-17,3.48189583399593e-17
"OAS2",4.6255542239141,9.21722429847169,234.801358037484,2.3922481420551e-19,1.79302543172224e-15,3.93524819368064e-15
"USP18",6.17166706086536,6.85710842133701,231.35205270443,3.26995519463022e-19,1.79302543172224e-15,5.37907629516672e-15
"OAS1",5.67091150031386,9.29414925977013,226.412817916163,4.72594820435522e-19,1.94354619904108e-15,7.77418479616434e-15
"BCL2L14",6.15415418210446,2.89806577443829,184.537927225497,7.88507437080734e-19,2.36521353400303e-15,1.29709473399781e-14
"MX2",3.77341319466722,9.62061538710428,217.060749046489,1.03438495098662e-18,2.36521353400303e-15,1.70156324437299e-14
"DHX58",3.73200877333005,8.23326127678266,214.449345679181,1.29411030204311e-18,2.36521353400303e-15,2.12881144686092e-14
"HERC6",3.3804409262059,6.81587777706678,213.957465753034,1.35124365649684e-18,2.36521353400303e-15,2.2227958149373e-14
"KCTD14",5.08040730065053,6.13989752976949,213.640430412358,1.41601934685981e-18,2.36521353400303e-15,2.32935182558438e-14
"SIGLEC1",5.92751070722341,5.41572234566104,215.017574404142,1.43781977750944e-18,2.36521353400303e-15,2.36521353400303e-14
"RSAD2",6.24539320996735,9.64954414513175,211.443307995268,1.68050609164431e-18,2.51312047341354e-15,2.76443252075489e-14
"ISG15",7.20179715637581,10.4897395988467,204.28615921128,3.16518563098627e-18,4.10822285853526e-15,5.20673036297242e-14
"PLA2G4C",5.06958716855801,6.55876727131085,204.109080989611,3.24661988820416e-18,4.10822285853526e-15,5.34068971609584e-14
"DDX60",4.21574051154146,6.40142125164484,202.529284344877,3.71795594164066e-18,4.36859823142777e-15,6.11603752399888e-14
"IFIT2",5.46238678614641,11.542617814515,201.279866505039,4.14859576317723e-18,4.54962668695103e-15,6.82444003042655e-14
"PML",3.01531480798183,7.90488623283549,199.283405013708,4.97734824705072e-18,5.11733616649902e-15,8.18773786639843e-14
"NPFFR1",5.25389376179734,0.373359389203751,124.0305659649,7.1472425515053e-18,6.91600823366248e-15,1.17572139972262e-13
"MX1",4.54671803688911,10.5778475973359,194.181245871822,7.98112230927354e-18,7.29385899930832e-15,1.3128946198755e-13
"GCH1",4.3566043896942,4.36488817411009,194.37621927295,8.53456848885269e-18,7.38913956008562e-15,1.40393651641627e-13
"RAB5C",4.37642860791654,7.93219320402981,192.725415472,9.15524747558098e-18,7.53019104866535e-15,1.50603820973307e-13
"DDX58",4.33609931530072,7.73751697344468,190.273352661147,1.15475788335508e-17,9.04560341961478e-15,1.8995767181191e-13
"LIG1",2.75591218266135,6.06915055844762,188.855811930135,1.32222130051269e-17,9.88660926974265e-15,2.17505403934338e-13
"PARP12",2.58253127224997,6.66045246866755,188.036441696575,1.42926586609689e-17,1.02223580423017e-14,2.35114234972939e-13
"LGALS8",2.30319601653117,5.95578650812144,185.235831264596,1.8743497239038e-17,1.28471053992573e-14,3.08330529582175e-13
"TMPRSS2",4.11587731222602,3.07569937594902,184.16929128751,2.55978385072832e-17,1.68433777377924e-14,4.21084443444809e-13
"EPSTI1",3.50751249214819,7.52954150773723,177.379954019539,4.07506375853566e-17,2.57826149338122e-14,6.70347988279117e-13
"HERC5",5.05615201840901,8.15631928803042,175.624110789349,4.86972809491176e-17,2.96692693189994e-14,8.01070271612985e-13
"OAS3",3.73387758489768,9.05682284069892,173.319797623553,6.15476752739156e-17,3.61592592234254e-14,1.01245925825591e-12
"IFIT5",4.01286021712079,6.31797261075922,172.32144591574,6.83863792664175e-17,3.87915841011231e-14,1.12495593893257e-12
"SCIMP",2.63684306281521,6.05481834575764,171.943820666117,7.09638427151656e-17,3.89118404221491e-14,1.16735521266447e-12
"TOR1B",2.05340694378605,4.91116781876417,171.355256126927,7.54860800519005e-17,4.0056323124315e-14,1.24174601685376e-12
"SERPING1",5.71218930908537,5.69582992264251,170.563117464472,8.81234643286379e-17,4.52626548740971e-14,1.44963098820609e-12
"OASL",4.6345155392183,9.7314782816579,169.238020921468,9.39230599635091e-17,4.52626548740971e-14,1.54503433639972e-12
"SHROOM4",5.35664286733371,1.54195689735034,128.607195147486,9.5466336528059e-17,4.52626548740971e-14,1.57042123588657e-12
"ZCCHC2",2.34106636932593,4.37075575678199,169.056557386803,9.63035210087173e-17,4.52626548740971e-14,1.5841929205934e-12
"IFIT3",4.0448671827845,10.2641537393321,167.333075871152,1.14722088505338e-16,5.24216209975778e-14,1.8871783559128e-12
"APOL2",3.32051248250317,9.56529212613606,164.456668149843,1.55716126558721e-16,6.92305481592152e-14,2.56153028189096e-12
"KCNH7",2.79019483158425,6.60000094217314,164.018442417711,1.63269585078971e-16,7.06785440670808e-14,2.68578467454907e-12
"CMTR1",1.68596875199946,6.80007172435514,162.049755232105,2.01745095676109e-16,8.50950467659484e-14,3.31870682387199e-12
"IFI27",5.8530439027676,10.0397302457286,161.455308774492,2.15177422261919e-16,8.84917149052142e-14,3.53966859620857e-12
"HSD3B7",5.0924208476399,1.06105045684239,117.557459527947,2.41668930411844e-16,9.69622903725569e-14,3.97545390527483e-12
"UNC93B1",2.31429995780712,8.95263344798896,159.400656215807,2.69207465077663e-16,1.05439590488752e-13,4.42846280052756e-12
"XAF1",2.8496102237068,6.75080474273036,159.043799922204,2.80070244291202e-16,1.07143151595122e-13,4.60715551859027e-12
"STAT2",2.80204308606293,6.80586542690722,158.520589812901,2.96628958439434e-16,1.10898781052925e-13,4.87954636632869e-12
"EIF2AK2",2.94816128443039,7.02508461803012,157.728338658174,3.23693804285186e-16,1.18328068455362e-13,5.32476308049131e-12
"ATF3",3.77557117314747,4.57320978971884,155.976111480849,4.03449789450047e-16,1.44277152966376e-13,6.63674903645328e-12
"SDC3",4.26693095712528,6.03616087605221,154.559082558464,4.63288491163305e-16,1.61389665647517e-13,7.62109567963637e-12
"CXCL10",4.96669312643111,4.80091504808447,155.121562844768,4.70924252345337e-16,1.61389665647517e-13,7.74670395108079e-12
"AGRN",4.69276109282272,3.11433562536534,155.124867346743,4.97423650933433e-16,1.66908853539841e-13,8.18261905785498e-12
"DTX3L",2.649524126503,6.67665025225639,153.704831596613,5.07321743282191e-16,1.66908853539841e-13,8.34544267699205e-12
"TRIL",4.21972434924662,1.65448505033665,144.900896815807,5.49670800531828e-16,1.76996835262789e-13,9.04208466874858e-12
"IFI44L",5.00260350186802,6.78943779799242,152.881592008553,5.59503673779029e-16,1.76996835262789e-13,9.20383543366503e-12
"RNF213",2.68865928179005,8.90508639331137,152.062147872416,6.10888307510231e-16,1.89605899217798e-13,1.00491126585433e-11
"SPATS2L",3.91987766064216,6.06567269171322,149.372295087924,8.33910315503242e-16,2.5403379055608e-13,1.37178246900283e-11
"CMPK2",5.29640814521437,8.11217492400005,148.110629086011,9.63036079176054e-16,2.83863374254438e-13,1.58419435024461e-11
"TMEM255A",2.89925672832069,3.81379116596841,148.28382160966,9.66343401717236e-16,2.83863374254438e-13,1.58963489582485e-11
"SLFN5",2.6082619185269,7.10268073440172,147.897030764105,9.8624744926198e-16,2.84627553339642e-13,1.62237705403596e-11
"APOL6",4.68271614462366,8.45547308236522,147.152358595747,1.07592075023976e-15,3.05153385197312e-13,1.76988963414441e-11
"MR1",3.82204142552209,6.32220270814673,145.391216528377,1.32449717186475e-15,3.69287770799577e-13,2.17879784771751e-11
"HELZ2",2.44200157311994,6.97417096757527,144.083598014025,1.54325029983905e-15,4.23107790539207e-13,2.53864674323524e-11
"MOV10",2.52833725101531,7.39239400608306,143.234284699815,1.7071381209233e-15,4.60367575232594e-13,2.80824220891882e-11
"PARP14",2.55460236649958,8.54393922858229,142.52239373354,1.85848748637949e-15,4.93098695982945e-13,3.05721191509426e-11
"IL27",4.5719341529779,4.51251113720854,141.71733105683,2.19742979342907e-15,5.73773334950925e-13,3.61477201019083e-11
"RTP4",2.61614779267885,5.48368317853141,140.569021006243,2.35360811277783e-15,6.04950835237426e-13,3.87168534551953e-11
"IFIT1",3.11969521948489,9.23918732020074,140.145744052092,2.47405021804103e-15,6.26125016719614e-13,4.06981260867749e-11
"PCDH20",5.23397462931161,1.43652746466762,109.390508988787,2.70015958541998e-15,6.72994320911494e-13,4.44176251801586e-11
"TRIM38",1.99854926055134,7.27777570774379,138.082033141629,3.18139443196522e-15,7.81103558295939e-13,5.23339384058279e-11
"FHAD1",5.0960499926388,4.42138632147785,135.116055991831,5.20928902807733e-15,1.23661237871121e-12,8.5692804511872e-11
"ZBP1",2.97893650815753,6.83578691937972,134.084654653838,5.22257938725875e-15,1.23661237871121e-12,8.59114309204064e-11
"TRIM21",1.78029663420927,6.8878921416916,133.903144860502,5.34110280799988e-15,1.23661237871121e-12,8.78611411915980e-11
"SAMD4A",3.47026422233188,3.72606056164828,134.3045809368,5.34407540084932e-15,1.23661237871121e-12,8.79100403439713e-11
"CD274",3.36802962293935,6.69360631884212,133.802033399887,5.41252834451105e-15,1.23661237871121e-12,8.90360912672068e-11
"SP140",1.78279454860537,7.28362733102984,133.31831154341,5.74818976850735e-15,1.29531125605405e-12,9.45577216919459e-11
"KCNMA1",4.4926393723614,2.01881106152703,128.176392324033,5.91166047210163e-15,1.31414614548746e-12,9.72468147660718e-11
"DDX60L",2.77120877838721,7.73780985687269,130.882822603104,7.82689506625925e-15,1.71669898453286e-12,1.28752423839965e-10
"FBXO6",2.84400628069777,7.2455898018491,130.568599768243,8.14773161579981e-15,1.76355506684088e-12,1.34030185079907e-10
"IL15RA",2.79976261771612,6.73123392461764,130.441317965699,8.28368833899134e-15,1.76969705423906e-12,1.36266673176407e-10
"PI4K2B",2.06581986677696,5.07003680586263,130.03397241581,8.73508852769193e-15,1.84220777282734e-12,1.43692206280532e-10
"MOCOS",3.1837575851955,4.91475388268241,129.861441311224,8.97287307104919e-15,1.86840205087037e-12,1.47603762018759e-10
"TDRD7",1.87081126879848,5.97886654496093,128.201119789994,1.10538167305901e-14,2.27294106522759e-12,1.81835285218207e-10
"PODXL",3.42147733199694,2.91294316843944,128.194202819458,1.24293059720516e-14,2.50901044476442e-12,2.04462083240249e-10
"BATF2",5.64587996364261,4.88968716909428,128.228372100029,1.25069213659989e-14,2.50901044476442e-12,2.05738856470683e-10
"PARP15",2.17818752493186,5.17942763617612,127.083438576788,1.27939197108179e-14,2.53566240051752e-12,2.10459979242954e-10
"CNP",2.18172954133134,8.02306979844734,126.719999582279,1.34000843797869e-14,2.62418319104161e-12,2.20431388047495e-10
"ISG20",2.43054454833941,9.37487663792825,123.645942024253,2.01034327065661e-14,3.89060550615309e-12,3.30701468023012e-10
"STAT1",2.15635448718637,9.75408199831868,123.51342883273,2.04614732186182e-14,3.89776266994161e-12,3.3659123444627e-10
