"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"TMT1B",7.22612935995393,4.24092469138449,186.149970793862,3.59863089390451e-20,6.98350311271109e-16,6.98350311271109e-16
"GAS7",3.00746237215618,9.03232793970662,210.649717733892,2.0995267123124e-18,1.63576560774333e-14,4.07434153791344e-14
"MCEMP1",5.09425042602981,8.94568014423609,208.535704150314,2.52875235660621e-18,1.63576560774333e-14,4.90729682323e-14
"PPARG",5.71271388239822,2.19862715004343,142.421103627765,3.52258070701643e-18,1.70225192077029e-14,6.83592012003609e-14
"MAPK14",3.23514394686073,9.1058909001449,202.316936668187,4.38589075742113e-18,1.70225192077029e-14,8.51125960385144e-14
"CD55",3.07310914289692,9.3028519893294,198.434731098883,6.23462695717413e-18,1.93721643551628e-14,1.20989170730921e-13
"GYG1",4.20721501681629,8.37073013523838,196.373077277412,7.54044343557744e-18,1.93721643551628e-14,1.46329845310816e-13
"SLC2A3",3.20408545270045,10.0593067725834,195.219683327089,8.37932362210723e-18,1.93721643551628e-14,1.62609154210613e-13
"DNAH17",2.97311195511837,6.74720366875989,194.487831434233,8.98430790458957e-18,1.93721643551628e-14,1.74349479196465e-13
"IL10RB",1.80622558978127,7.84599083897242,188.300010480973,1.60541328126449e-17,3.09499262853657e-14,3.11546501362188e-13
"PFKFB3",4.6498735928054,9.30300519906647,187.37610823979,1.75435014500166e-17,3.09499262853657e-14,3.40449189139023e-13
"SLC22A4",2.58962840319476,5.6300235177213,182.016550150221,2.96427517735868e-17,4.79372700765188e-14,5.75247240918225e-13
"IL4R",2.68768463050985,9.6741554399404,175.28710841636,5.75719653545632e-17,8.09676985982109e-14,1.11724155967065e-12
"IL18R1",4.88216317396646,7.52533294881587,175.226570470373,5.84122323186103e-17,8.09676985982109e-14,1.13354778037495e-12
"TLR5",3.26077697516028,6.8431570511532,172.52662756668,7.64001708863874e-17,9.88414477480822e-14,1.48262171622123e-12
"SOCS3",4.23672444724131,8.34148559495057,168.542061729853,1.15157837229136e-16,1.39672061829288e-13,2.23475298926861e-12
"GADD45A",4.8396784849973,6.35678820416581,168.061535640285,1.26031317631501e-16,1.43868455879818e-13,2.4457637499569e-12
"SLC2A14",3.16307491276578,5.15095690436858,166.039067631862,1.53281500139875e-16,1.64719728209432e-13,2.97458079171442e-12
"ETS2",2.89119323686211,7.59327937763369,165.280743423683,1.62162259799738e-16,1.64719728209432e-13,3.14692081367372e-12
"IL18RAP",3.31620290121947,8.34005824707813,164.637700873967,1.73563142578335e-16,1.64719728209432e-13,3.36816634487518e-12
"LRG1",2.86168310678676,9.17828449868041,164.130794726121,1.83135242014289e-16,1.64719728209432e-13,3.5539225065293e-12
"SIRPA",2.26333904848208,9.60288964995286,163.332058176069,1.99426778192509e-16,1.64719728209432e-13,3.87007605760382e-12
"CD59",2.59907256886501,7.18518966277767,163.169254319263,2.03059058989393e-16,1.64719728209432e-13,3.94056409874816e-12
"SIPA1L2",3.78534682821127,6.88291681665079,163.067437213033,2.05990779453623e-16,1.64719728209432e-13,3.99745706607701e-12
"JAK3",1.8713186695356,10.0072047192318,162.674061203216,2.13984945508037e-16,1.64719728209432e-13,4.15259185252896e-12
"ADM",2.47298042312352,6.93400386346597,162.393039257561,2.20690143947502e-16,1.64719728209432e-13,4.28271293344522e-12
"LIMK2",2.25846955150965,9.07649320426434,160.256423343814,2.77758200670797e-16,1.99636134896944e-13,5.39017564221748e-12
"STOM",3.50725250448482,8.70040242694804,158.258931701409,3.45428394825479e-16,2.3940655107083e-13,6.70338342998324e-12
"FCAR",3.44942161412929,8.05244141866006,155.249040317602,4.81823616370443e-16,3.17921166718795e-13,9.35026909928481e-12
"NLRC4",2.79984811763547,7.03182025922433,155.073755829146,4.91478666472424e-16,3.17921166718795e-13,9.53763500156386e-12
"B4GALT5",2.923773090466,8.22611811606856,154.173294054771,5.43066109917782e-16,3.39959384808532e-13,1.05387409290645e-11
"MKNK1",2.90288105878385,8.64965914612364,153.526211177891,5.83857287142567e-16,3.49436837107371e-13,1.13303345142887e-11
"ACSL1",3.65390557548122,11.3780569556825,153.347181715145,5.95673738062195e-16,3.49436837107371e-13,1.1559644560835e-11
"HK3",3.11379390260266,10.222726413056,153.103418337617,6.1222572717977e-16,3.49436837107371e-13,1.18808524616506e-11
"MAP3K20",2.50705467285086,4.66958152217742,151.992118100498,7.07729991529823e-16,3.92405949017936e-13,1.37342082156277e-11
"ZNF319",1.67989011985063,6.08640998378074,151.483387314957,7.35816609758241e-16,3.96646031360234e-13,1.42792571289684e-11
"OSM",3.10542842709844,4.32025640293549,151.025440387807,8.23159353636202e-16,4.31735957207139e-13,1.59742304166641e-11
"RPL6",-2.24315638779658,8.22307330452233,150.072574408103,8.63291071926682e-16,4.40869119521295e-13,1.67530265418092e-11
"DYSF",2.96744653414031,10.6975143165385,149.26671824413,9.4673122955632e-16,4.71083749763332e-13,1.83722662407699e-11
"PFKFB2",5.76860867602485,7.80345293488941,148.98327641066,9.957357766263e-16,4.8308121203025e-13,1.932324848121e-11
"TMCO3",2.61693850138944,6.35666203769534,147.179287475534,1.2065598498492e-15,5.57560486126614e-13,2.34145004461736e-11
"PGS1",2.5525343005164,8.574578434407,147.164114276214,1.20671650094392e-15,5.57560486126614e-13,2.34175404173178e-11
"SAMSN1",3.46169851341757,6.78112105611809,146.468973738859,1.31191344295239e-15,5.92069587765908e-13,2.54589922739340e-11
"RPS6",-2.4838776316822,9.25900038350522,146.24315247764,1.34310079377327e-15,5.92368500090092e-13,2.6064214003964e-11
"MCTP2",3.05366414402358,8.02811059405397,145.959880895307,1.38861676699488e-15,5.98833266228949e-13,2.69474969803027e-11
"RALGAPA2",2.84587821824879,7.79450596232238,144.12582078261,1.72212107469689e-15,7.26510469034082e-13,3.34194815755678e-11
"IRAK3",3.77776498999425,8.69904645663835,143.623959302791,1.82714965312731e-15,7.38801869770673e-13,3.54576661685886e-11
"ANXA3",3.52767668214671,7.59064887884181,143.44782611214,1.86672416135881e-15,7.38801869770673e-13,3.62256490753291e-11
"UPP1",2.67507359651123,7.71427075325493,143.427696238067,1.87000770846399e-15,7.38801869770673e-13,3.62893695904523e-11
"RALB",1.89941808398838,7.86723700201286,143.276067289542,1.90353980668523e-15,7.38801869770673e-13,3.69400934885337e-11
"RAB27A",1.87793431810799,7.5541580033445,142.940579838284,1.98084295676395e-15,7.48710733942256e-13,3.84402384189613e-11
