"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"KCTD14",5.9974430075737,1.67154388071575,373.912120021689,6.46593697870588e-33,8.45097963116859e-29,8.45097963116859e-29
"FBXO39",4.47807657805033,0.538203479725181,344.440623934693,2.4898571046938e-30,1.6271216179174e-26,3.2542432358348e-26
"IFI27",8.14197081466506,9.05847439055561,534.823374083414,8.05014627262009e-29,3.50718039277148e-25,1.05215411783145e-24
"HESX1",6.45722078834472,1.82102110341851,245.744082793253,1.19221227632553e-27,3.89555361289367e-24,1.55822144515747e-23
"LY6E",4.39318691431042,11.0898465682435,435.418019672361,9.34327064087697e-27,2.44233094552524e-23,1.22116547276262e-22
"PLSCR1",3.8930010097639,7.70940035917485,393.18583342893,9.68839446058944e-26,2.1104552599984e-22,1.26627315599904e-21
"XAF1",3.44603537979679,8.96972290247676,386.732931456432,1.41106096095669e-25,2.63465239424343e-22,1.8442566759704e-21
"IFI44L",6.23628865306206,8.56203413631019,378.740220102222,2.27569615226456e-25,3.71791858876223e-22,2.97433487100979e-21
"IFI44",5.69297176676619,7.70141602827165,368.256861596962,4.30638719680044e-25,6.25383118468686e-22,5.62844806621817e-21
"TMT1B",6.63287812769634,3.40334402007861,296.668454134809,5.23202088955786e-25,6.83825130265213e-22,6.83825130265213e-21
"OAS1",4.29156563821269,9.91086368686549,354.737260587224,9.96062112632414e-25,1.18350289200961e-21,1.30185318121057e-20
"OAS2",4.12221355385681,9.71983683372119,345.187499330329,1.83927334604025e-24,2.0032752193955e-21,2.40393026327461e-20
"CMPK2",5.64932747647396,7.27196756052902,343.89171851091,2.01992215791279e-24,2.03079866184001e-21,2.64003826039201e-20
"RTP4",3.82282402489702,6.02173795307644,339.940426152524,2.60478337249726e-24,2.34909346184069e-21,3.40445186785392e-20
"CCDC71L",2.46601859161062,5.38029938211054,339.379872449376,2.69597566393346e-24,2.34909346184069e-21,3.52364019276103e-20
"KIAA1958",3.63456636973567,4.10405983511537,326.96726155146,6.55004162931209e-24,5.22046569077787e-21,8.5609044095109e-20
"OAS3",5.45705093217051,10.3924274043139,325.594545670195,6.79020020988705e-24,5.22046569077787e-21,8.87479167432237e-20
"IRF7",4.25205161036121,9.96452732224895,314.511232279914,1.46552752398175e-23,1.0641358188023e-20,1.91544447384414e-19
"USP18",6.03714720784977,7.0243257334393,311.795053088476,1.81425113698228e-23,1.21940533458406e-20,2.37122623603583e-19
"EIF3L",-1.82365654941552,8.24419787014245,311.099116487191,1.86596072621891e-23,1.21940533458406e-20,2.43881066916812e-19
"ZCCHC2",2.83620546962108,6.92582424365219,304.533989980835,2.99070432702497e-23,1.86135740734364e-20,3.90885055542164e-19
"IFIT5",3.66064050387341,6.41617993026605,303.869185514892,3.14308973355733e-23,1.86728103716338e-20,4.10801828175943e-19
"SIGLEC1",5.79699372804589,8.42406296810815,300.055697940199,4.15199483777255e-23,2.35941619694292e-20,5.42665725296872e-19
"MS4A4A",3.53658152092598,4.5193669991177,292.7246824897,7.31566357145929e-23,3.82798342816428e-20,9.5615722878973e-19
"RSAD2",6.91075644328137,9.5362158025891,292.407921572287,7.32208000796535e-23,3.82798342816428e-20,9.56995857041071e-19
"EPSTI1",3.97731071066303,8.02656182561297,286.598853113209,1.13446556217065e-22,5.70287111445014e-20,1.48274648975704e-18
"OASL",4.55275732083002,9.18961845747355,283.940546333969,1.39025548600332e-22,6.72986637113459e-20,1.81706392020634e-18
"IFIT1",5.75248228486391,9.62547581606493,282.760843811029,1.52313272827086e-22,7.1097659851786e-20,1.99073447585001e-18
