"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"KLHDC7B",2.1975381736853,5.19686114564316,147.486914790565,1.17380985761445e-14,2.27789540968659e-10,2.27789540968659e-10
"RPL6",-1.78030879734769,8.47030080255906,108.118467363045,1.12871581164423e-12,1.00706655490302e-08,2.1903859040768e-08
"RPS6",-1.91147352384458,9.52890239178297,105.688914669659,1.55683791853502e-12,1.00706655490302e-08,3.02119966470907e-08
"RPL4",-1.74463594935162,9.66520011619012,99.9616554195926,3.39746482756952e-12,1.38883682449804e-08,6.59312024438141e-08
"KCTD14",4.25108528048106,0.540043973398351,74.9325431825231,3.57836963953942e-12,1.38883682449804e-08,6.9441841224902e-08
"IFI27",5.7578190542573,8.12843560554071,96.9388145862424,5.22201254240534e-12,1.68897292329863e-08,1.01338375397918e-07
"RPS8",-1.49245754651965,8.54470282785395,95.0634844571656,6.79990562359636e-12,1.88512812187873e-08,1.31958968531511e-07
"RPL5",-1.69335666125386,8.24647298074789,93.298248274644,8.78754994495542e-12,2.13163992789756e-08,1.70531194231805e-07
"EPHB2",2.33188973184222,3.89566783770557,87.6657391932484,2.08189045093431e-11,4.48901845453679e-08,4.04011660908311e-07
"RPS27A",-2.21378787229719,8.10851552794269,85.9350310152089,2.6630015837152e-11,5.16782087335772e-08,5.16782087335772e-07
"CLEC9A",-2.53915978571075,0.624756248335407,78.0524207432144,4.03120495383812e-11,7.11177848492568e-08,7.82295633341825e-07
"RPL3",-1.92141877026105,10.1375228206767,82.4939871434608,4.57543096502829e-11,7.39923444227825e-08,8.8790813307339e-07
"RPS14",-1.89241718454817,8.34312979948313,81.5507015216389,5.32184753320818e-11,7.94429024841831e-08,1.03275773229438e-06
"CDKN1A",2.22436764273065,5.99113058350396,80.8069483713569,6.00442176004388e-11,8.32298633395797e-08,1.16521808675412e-06
"DUSP5",1.67078375289172,4.16584766531095,80.0085743409316,6.87268960097218e-11,8.89142762643108e-08,1.33371414396466e-06
"C2",2.82276833211039,4.80335626404245,76.7924507124639,1.17261392549045e-10,1.3570420149044e-07,2.27557458380677e-06
"RPS20",-1.94375129145702,8.64899600915512,76.3716059324964,1.24750501614112e-10,1.3570420149044e-07,2.42090823432346e-06
"EEF1B2",-2.23466953357147,6.80450799618807,76.3199930770619,1.25872185243117e-10,1.3570420149044e-07,2.44267562682793e-06
"RPS23",-2.12988395148734,8.19958528766381,75.941966275857,1.34121264862442e-10,1.36598153836189e-07,2.60275726592055e-06
"TCN2",2.85214007119227,5.55053189533285,75.6725918400837,1.40779299016994e-10,1.36598153836189e-07,2.73196307672379e-06
