"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"RRM2",3.08546753915405,4.87134384270276,187.563281445274,3.9665850669106e-27,3.60059870306126e-23,5.18432668245215e-23
"CDC6",3.00458193384055,2.33320055088829,186.44769952648,5.50971492434776e-27,3.60059870306126e-23,7.20119740612253e-23
"CDC25A",3.34509517155705,1.35393036365601,160.627699636054,9.8751790388775e-25,4.3022863346043e-21,1.29068590038129e-20
"HJURP",2.47948053349028,2.29146896000321,155.748268390655,4.52147180315071e-24,1.47739091167949e-20,5.90956364671797e-20
"FOXM1",2.36547112508732,3.33624052589044,151.568057057444,1.13060451920631e-23,2.9554002132053e-20,1.47770010660265e-19
"CDC45",2.69539433392062,1.86874869461261,144.703289113415,6.12605795661934e-23,1.33445962488358e-19,8.00675774930148e-19
"UBE2C",2.19245714251471,2.75572646145072,138.095691822192,2.91539310657118e-22,5.44345541469791e-19,3.81041879028854e-18
"MCM10",3.28350572231518,1.21565198878262,133.071855382062,7.2210780770026e-22,1.1797436308303e-18,9.4379490466424e-18
"BIRC5",2.58886018132299,3.14053379821585,133.469248445774,9.16378410132127e-22,1.33078509115854e-18,1.19770658204269e-17
"GMNN",1.60045938420674,2.17909180210849,131.787123665662,1.41535349812194e-21,1.84115526753148e-18,1.84986702204537e-17
"TYMS",2.64842021216076,3.66375278389943,131.022310494289,1.67366557039869e-21,1.84115526753148e-18,2.18748090051109e-17
"PKMYT1",2.45582054358041,2.4251474702467,131.141199340198,1.69042564731276e-21,1.84115526753148e-18,2.20938632103778e-17
"JCHAIN",3.87578488267158,8.03709073146327,130.345289678865,1.95581323333269e-21,1.96634453535833e-18,2.55624789596583e-17
"BUB1",2.75349269905158,3.01366136817406,127.960835826792,3.72961457893947e-21,3.48186161048135e-18,4.87460625467388e-17
"CDCA5",2.42569720158206,2.81245781614019,127.417542507938,4.27575879028226e-21,3.72561115926594e-18,5.58841673889891e-17
"EEF2",-1.05921816875099,10.7764337511729,124.595989318437,8.54714771431097e-21,6.98195128912777e-18,1.11711220626044e-16
"SHCBP1",2.15982538912984,2.34513301447219,124.354836152592,9.53076946384708e-21,7.00635560550291e-18,1.24567156892481e-16
"CCNA2",2.43796853374863,1.9670059380745,124.401793407799,9.64915079564287e-21,7.00635560550291e-18,1.26114400899052e-16
"IFI27",7.4876017271053,9.225578384643,123.375988378901,1.1790887862752e-20,8.11088970348259e-18,1.54106904366169e-16
"NR1D1",-1.30718979885238,2.90566859485519,120.058573353531,2.83295899620755e-20,1.85133870402163e-17,3.70267740804326e-16
"HMGB2",2.08526508328447,6.69056213067766,119.502360758361,3.2483223694353e-20,2.0216939699295e-17,4.24555733685194e-16
"NDRG2",-1.2706401082046,3.04211007866933,119.336958782179,3.42167068164399e-20,2.03278344586759e-17,4.47212358090869e-16
"MELK",2.76658342994086,0.982016268951578,118.484110847372,3.81600661253121e-20,2.16848723590361e-17,4.9875206425783e-16
"CDK1",3.44399359916965,1.4070976329233,117.682077438333,4.11051995719198e-20,2.2385206600208e-17,5.37244958404992e-16
"CLSPN",1.46024004741098,1.97785872222344,118.500971881717,4.42135902211869e-20,2.31148649676365e-17,5.77871624190913e-16
"NEK2",2.43833458373112,0.513533168090038,117.474723507828,4.72049498220579e-20,2.32304268868853e-17,6.16968694174297e-16
"KIF4A",2.81931491026354,1.31255332337513,117.954047838087,4.79894051986153e-20,2.32304268868853e-17,6.27221525945902e-16
"SKA3",3.05447104092888,0.478509050147091,115.350618829497,5.00903795873051e-20,2.33814736145028e-17,6.54681261206077e-16
"NCAPG",3.01055988531356,1.95389499440274,117.788843572131,5.35810590208721e-20,2.41484290138896e-17,7.00304441402798e-16
"BHLHA15",4.10360745266928,0.953548056761138,111.706346567909,6.9965248404232e-20,3.04815265547771e-17,9.14445796643312e-16
"PBK",3.69491606216702,-0.292104162212713,107.582304326355,7.34383404682947e-20,3.0962551932923e-17,9.59839109920612e-16
"TTK",2.96622507613637,0.543074527783241,111.655113944511,1.61838303089521e-19,6.61008319181264e-17,2.11522662138004e-15
"E2F8",3.07145679490171,0.738162341047173,111.829555092896,1.67663400182874e-19,6.6404867890611e-17,2.19136064039016e-15
"DLGAP5",3.0038694165142,1.79580960154024,113.353816687174,1.7381223742794e-19,6.68154689171523e-17,2.27172594318318e-15
"CDC20",3.0684660094843,3.14682676474078,112.788111505414,2.04342857242693e-19,7.63074612617714e-17,2.670761144162e-15
"TNFAIP8L1",-0.702785601683195,4.17764518199763,111.00937686818,3.20602654636599e-19,1.15608703045753e-16,4.19027669610035e-15
"UBE2J1",1.465155620213,6.72751383390194,110.929903672504,3.27277889264948e-19,1.15608703045753e-16,4.27752201269287e-15
