"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"MYO3B",3.96402419405761,-0.103860988843741,212.336005034013,3.32863633676765e-20,6.4595516751313e-16,6.4595516751313e-16
"ADAMTS19",4.20455957703309,-0.418103594780447,109.808338042319,1.95701643756508e-15,1.53562724554645e-11,3.7977860987388e-11
"FNDC1",4.37261093894974,3.79604476624287,158.395960886964,2.37394709710365e-15,1.53562724554645e-11,4.60688173663935e-11
"COL9A1",3.84022950020343,-0.946259480475185,96.7423634945058,1.34949858651647e-14,6.54709239248466e-11,2.61883695699387e-10
"RET",2.45513984696186,1.30596251604979,136.079887057964,2.76508345711044e-14,9.58122455432016e-11,5.36592095686851e-10
"DGKB",3.0038508218735,-0.606827593189973,113.178606675728,2.96234913562408e-14,9.58122455432016e-11,5.7487347325921e-10
"LY6D",6.35839140487227,2.32359807663388,107.209362331505,4.1805597768284e-14,1.15897061470188e-10,8.11279430291319e-10
"OSTN",3.1343018264127,-1.36045632889738,89.4937263457644,8.62532828066823e-14,2.0922890076831e-10,1.67383120614648e-09
"NXPE4",3.42625634375415,-1.24212829370117,82.954746286729,2.95144658951863e-13,5.82588497532014e-10,5.72757725161986e-09
"THSD7B",4.60913955240833,1.57419877757506,109.829670181305,3.0326014089334e-13,5.82588497532014e-10,5.88506629417616e-09
"CRABP2",3.11138861331639,3.49405063503689,114.363279215448,3.30231550698349e-13,5.82588497532014e-10,6.40847347285216e-09
"HPSE2",3.95020499418835,3.74441008470012,113.12820922067,3.95296551802133e-13,6.39260407022683e-10,7.67112488427219e-09
"CBS",-2.43948260489249,3.92383055528639,109.259374906842,6.36763719328898e-13,9.50541287484353e-10,1.23570367372966e-08
"ZDHHC19",-3.51339441697561,1.16324984135652,108.008264225901,7.21309888637505e-13,9.99838549921387e-10,1.39977396988994e-08
"FRMPD4",3.55635208085589,-0.778731220062225,81.2260440157928,1.02448117445938e-12,1.32540544477058e-09,1.98810816715588e-08
"LOC102724560",-2.41844018527591,3.86419765529514,104.743572582288,1.17573105297224e-12,1.39366098249161e-09,2.28162368139794e-08
"KCNH1",2.31851811945798,-0.228558226868502,102.332780224353,1.22087172536109e-12,1.39366098249161e-09,2.36922367023573e-08
"SERPINB11",5.58600683151281,0.677835175600146,74.6905115587564,1.919318961757e-12,2.06923909843646e-09,3.72463037718563e-08
"COL25A1",3.76965716776951,1.73518630179179,98.0001130500364,3.34828590902859e-12,3.30751920539397e-09,6.49768363506088e-08
"MMP16",3.87789603604831,2.05808370460625,98.0799305904321,3.40875935833657e-12,3.30751920539397e-09,6.61503841078795e-08
"ASB5",4.09324008051369,-0.210637469427093,76.5113942808498,3.8781053605807e-12,3.35611039520154e-09,7.52585126274291e-08
"COCH",2.43425284874222,0.702160989191442,97.1020281762945,3.94187364704995e-12,3.35611039520154e-09,7.64959999946513e-08
"CYP1A2",-4.31384211368313,-1.05643736869146,71.0717686369691,4.13506976035792e-12,3.35611039520154e-09,8.02451637695058e-08
"AMPD1",4.62232754302847,2.02351631999583,94.9762022987316,4.15060545629378e-12,3.35611039520154e-09,8.0546649484837e-08
"STUM",2.48887107764764,2.61127116317479,95.2584372231653,4.65015413028851e-12,3.60963564209515e-09,9.02408910523788e-08
"GREM2",2.80873724426426,3.07367838868093,94.6542810035315,5.05372805105132e-12,3.77202486764238e-09,9.80726465587019e-08
"LAMP5",3.04987655914203,1.58387673152947,95.0573310652378,5.31022289435285e-12,3.7941375765203e-09,1.03050185487811e-07
"STX3",-1.2848117312018,6.39368316426169,93.9908232321537,5.47438174495354e-12,3.7941375765203e-09,1.06235852142568e-07
"BMERB1",1.17179545661143,4.75284618451688,93.4449825177471,5.94162569087506e-12,3.97597200541798e-09,1.15303188157121e-07
"IGFBP2",2.02598817051018,6.63109768688092,92.2316454185949,7.12982634746796e-12,4.45165306365044e-09,1.38361410098963e-07
"GRIN2A",3.74720801705164,1.20880892214868,91.3203482269495,7.2568332789576e-12,4.45165306365044e-09,1.40826106611451e-07
"WFDC12",-3.59322295819845,-0.32169625218934,78.433672887008,7.4044663914132e-12,4.45165306365044e-09,1.43691074791765e-07
"SCG5",2.72868374826897,0.211256441133461,90.6221108664399,7.57005828612102e-12,4.45165306365044e-09,1.46904551100464e-07
"JCHAIN",3.82216922364356,9.05468747578448,91.4251302475896,8.05753613421494e-12,4.59895724178162e-09,1.56364546220575e-07
"TMEM97",-1.58424937044473,4.75609966622932,90.0654203541391,9.9240689271742e-12,5.50247090287836e-09,1.92586481600742e-07
"SSC5D",2.24754127409412,5.18857995132434,89.7130707042592,1.04772920244483e-11,5.64784247295675e-09,2.03322329026443e-07
"PDE7B",1.9808647790109,3.0024790180078,89.3584942199906,1.11426032581341e-11,5.69730358459871e-09,2.1623335882735e-07
